seqnum, uri, duration, bitrate_string, uri_hash_string, download_addr, gear_name_string, quality_type_string, request_time_start, request_time_start, request_time_stop, request_time_stop
0,v12044gd0000cma8mifog65v0vb9j2dg,19,2275616&2020842&998344&922846&830782&607753,v12044gd0000cma8mifog65v0vb9j2dg&v12044gd0000cma8mifog65v0vb9j2dg&v12044gd0000cma8mifog65v0vb9j2dg&v12044gd0000cma8mifog65v0vb9j2dg&v12044gd0000cma8mifog65v0vb9j2dg&v12044gd0000cma8mifog65v0vb9j2dg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oo8ZIbFFv9SJYi8UDQDAEtlfRBlgiBOEEIEafc/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3946&bt=1973&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=aDdmZTRpNGlpNDM5Mzo2ZUBpajU8eXk5cmw7cDMzZzczNEBjMl9fYTJiXjYxYl9iMGExYSNhZ18tMmRjal5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733514&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=8714bb3d33bc7ef59215f85e10c850cc&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,2&20&14&24&28&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
1,v12044gd0000cnka18vog65uvgfenfq0,66,1012623&897022&859995&704075&489863&348393,v12044gd0000cnka18vog65uvgfenfq0&v12044gd0000cnka18vog65uvgfenfq0&v12044gd0000cnka18vog65uvgfenfq0&v12044gd0000cnka18vog65uvgfenfq0&v12044gd0000cnka18vog65uvgfenfq0&v12044gd0000cnka18vog65uvgfenfq0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/ocERCSlAKSifEj0oDDIrv6FXqIQB7gf9EoEEBW/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1976&bt=988&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=OGc6PGc0Zmc5Zjg8PGg3PEBpM2loang5cjtkcTMzZzczNEAtLmEtXzYxXi0xYGNgYzYuYSNua2NzMmRzLmhgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711733561&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=2aa1b6cc4055df0ebbff65bdc70f8c6c&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
2,v12044gd0000cnmk6d7og65j09n707ig,9,1050255&832592&553602&527773&416939&406840,v12044gd0000cnmk6d7og65j09n707ig&v12044gd0000cnmk6d7og65j09n707ig&v12044gd0000cnmk6d7og65j09n707ig&v12044gd0000cnmk6d7og65j09n707ig&v12044gd0000cnmk6d7og65j09n707ig&v12044gd0000cnmk6d7og65j09n707ig,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/okPy7wILCBBe5tQisRiDNILNBlBmEwAz1HQpAA/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2050&bt=1025&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=PDNkaGQzaDk4aWU0aDkzOEBpajo6PG05cmducTMzZzczNEAxYjIyXzMzX2AxLjYuX2EvYSNmLWstMmQ0M2pgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733504&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=1316562b009705ecb14c80f01288ec8e&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
3,v12044gd0000cnj0m4nog65n0a2fq8e0,16,2313594&1640335&1269211&1175175&879945&649624,v12044gd0000cnj0m4nog65n0a2fq8e0&v12044gd0000cnj0m4nog65n0a2fq8e0&v12044gd0000cnj0m4nog65n0a2fq8e0&v12044gd0000cnj0m4nog65n0a2fq8e0&v12044gd0000cnj0m4nog65n0a2fq8e0&v12044gd0000cnj0m4nog65n0a2fq8e0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/ooeBXGzbRAklChAIcHFIg0YMigfjAgLPLMChwe/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=3202&bt=1601&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=OTozPDhpNDgzNWRlaTo3OkBpMztpZHE5cjczcTMzZzczNEBhMGNgXzZhNl8xMzUtNmIwYSNibi8tMmRramdgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733511&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=0e18a085479fcce4f32b482630f221d4&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
4,v12044gd0000cn2nplnog65v7vquis30,13,1695785&1315704&871072&695842&570840&396403,v12044gd0000cn2nplnog65v7vquis30&v12044gd0000cn2nplnog65v7vquis30&v12044gd0000cn2nplnog65v7vquis30&v12044gd0000cn2nplnog65v7vquis30&v12044gd0000cn2nplnog65v7vquis30&v12044gd0000cn2nplnog65v7vquis30,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c002-tx/oQvIeigmfXSMACkYvL5tjNAEmQQQ8H4MIKfORs/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2568&bt=1284&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=ZTNpOWQ2ZGVnNGY0OzY8O0BpM3Z4eXk5cm9xcTMzZzczNEAxNmJgYmBeXzIxXjI0MjJjYSMwZm40MmRrbS9gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733509&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=d05051f27040de9b0164c2d4683d512f&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
5,v12044gd0000cnj77vnog65tafmk0f20,9,353037&335189&241824&207388&201157&158127,v12044gd0000cnj77vnog65tafmk0f20&v12044gd0000cnj77vnog65tafmk0f20&v12044gd0000cnj77vnog65tafmk0f20&v12044gd0000cnj77vnog65tafmk0f20&v12044gd0000cnj77vnog65tafmk0f20&v12044gd0000cnj77vnog65tafmk0f20,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/owIFmjeA7c1Dpp6yGKRGveffRPOFmdEXAIEEAI/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=688&bt=344&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=OjY7PGc8ZzhoPGU5PGlkO0BpM2luaXc5cnk6cTMzZzczNEBfLWAzNi41X2ExLTYwMTAzYSMvLWpeMmRrNGdgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733504&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=777a440d22a3eb539fd9d92730934a49&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,20&2&14&28&24&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
6,v12044gd0000cmu40q7og65t5441o2i0,64,951215&720038&589560&504735&258930&189174,v12044gd0000cmu40q7og65t5441o2i0&v12044gd0000cmu40q7og65t5441o2i0&v12044gd0000cmu40q7og65t5441o2i0&v12044gd0000cmu40q7og65t5441o2i0&v12044gd0000cmu40q7og65t5441o2i0&v12044gd0000cmu40q7og65t5441o2i0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c003-tx/owgPGABKc8BEE4UCXDSaQiV9kQUbQiIZAxg3M/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=984&bt=492&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=OmQ7OzdlNGZnNmZkNmQ7PEBpMzU0N3c5cnQ3cDMzZzczNEAwNTU1NjRhXmIxYGMxMmJfYSNmbDEyMmQ0LXJgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711733559&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=cd2f6867a180721247625f7730cfebcf&tk=tt_chain_token,adapt_lowest_1080_1&adapt_lower_720_1&adapt_540_1&normal_540_0&lower_540_0&lowest_540_0,2&14&28&20&24&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
7,v12044gd0000cn7uol7og65t545churg,5,900631&881061&503977&404419&381175&276676,v12044gd0000cn7uol7og65t545churg&v12044gd0000cn7uol7og65t545churg&v12044gd0000cn7uol7og65t545churg&v12044gd0000cn7uol7og65t545churg&v12044gd0000cn7uol7og65t545churg&v12044gd0000cn7uol7og65t545churg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oQUeGRASWElsUkhLA3JoE7IPfxIryCHkeD6jnF/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1758&bt=879&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=O2g2Ozw5Zzo7Njc7aDs2NUBpanhmN3c5cm94cTMzZzczNEBgYi8wLWFfNl4xNGJjXjFhYSNvZTIyMmQ0bDRgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733500&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=94eadd526713587485659eaf4d977b1b&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
8,v12044gd0000cmatgifog65vstfc84jg,57,565272&458741&311358&301082&240272&230046,v12044gd0000cmatgifog65vstfc84jg&v12044gd0000cmatgifog65vstfc84jg&v12044gd0000cmatgifog65vstfc84jg&v12044gd0000cmatgifog65vstfc84jg&v12044gd0000cmatgifog65vstfc84jg&v12044gd0000cmatgifog65vstfc84jg,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-pve-0068-tx/okJVTzCIyrj2gIXQ4CLLA2eGAOkGHHyRe7KIIf/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1104&bt=552&cs=0&ds=6&ft=4KJMyMzm8Zmo0c85F-4jVCRidpWrKsd.&mime_type=video_mp4&qs=0&rc=Nzk8ZWdnNGVmOTxkaThkOkBpajdmd3k5cmx3cDMzZzczNEAzNjIvNmFgXmMxYjFgYzIxYSNnNWNwMmRjZF5gLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733552&l=20240327173134AAA84D167BAE4C0D0D26&ply_type=2&policy=2&signature=83b29abc71f268162fb31e39a1250ddb&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&adapt_lower_720_1&lower_540_0&adapt_540_1&lowest_540_0,20&2&14&24&28&25, 1711560694.167959, 1711560694.168444, 1711560695.480957, 1711560695.498666
9,v12044gd0000cndqksfog65pk19f99d0,61,1203434&993032&674081&541338&519243&383295,v12044gd0000cndqksfog65pk19f99d0&v12044gd0000cndqksfog65pk19f99d0&v12044gd0000cndqksfog65pk19f99d0&v12044gd0000cndqksfog65pk19f99d0&v12044gd0000cndqksfog65pk19f99d0&v12044gd0000cndqksfog65pk19f99d0,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c001-tx/oAS3R60flQSOEgDzVB2FI2pEIXDgQPApxgf4wK/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=1938&bt=969&cs=0&ds=6&ft=4KJMyMzm8Zmo0K85F-4jVq-sdpWrKsd.&mime_type=video_mp4&qs=0&rc=ZjloNDQ1ODMzZ2ZoNTNlOUBpMzxpNHM5cnZ0cTMzZzczNEBjMTFgXmFhNTQxLl9hNmBeYSNhNjZoMmRjaGFgLS1kMS9zcw%3D%3D&btag=e00090000&expire=1711733559&l=202403271731376ABFBA7EB815C50C88B6&ply_type=2&policy=2&signature=137b3a162b08ee43d3ceec6419444ca8&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711560697.343704, 1711560697.3441322, 1711560698.3001459, 1711560698.302593
10,v12044gd0000cnoiidvog65ugni4552g,32,1144181&857798&543270&507188&422844&375505,v12044gd0000cnoiidvog65ugni4552g&v12044gd0000cnoiidvog65ugni4552g&v12044gd0000cnoiidvog65ugni4552g&v12044gd0000cnoiidvog65ugni4552g&v12044gd0000cnoiidvog65ugni4552g&v12044gd0000cnoiidvog65ugni4552g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast5/tos-useast5-ve-0068c004-tx/oUBnAKl84FTECESQIlED9dfFEawMgkReDSx3CR/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2234&bt=1117&cs=0&ds=6&ft=4KJMyMzm8Zmo0K85F-4jVq-sdpWrKsd.&mime_type=video_mp4&qs=0&rc=MzdkNGVoOjw3OWdlPGVnPEBpajg3cXg5cmdscTMzZzczNEBjMTRgMzNjNS4xLjFiYF4xYSMvMmZkMmRzZmxgLS1kMS9zcw%3D%3D&btag=e00088000&expire=1711733530&l=202403271731376ABFBA7EB815C50C88B6&ply_type=2&policy=2&signature=5188340e09d57145b05b606dfad71a42&tk=tt_chain_token,normal_540_0&adapt_lowest_1080_1&lower_540_0&adapt_lower_720_1&adapt_540_1&lowest_540_0,20&2&24&14&28&25, 1711560697.343704, 1711560697.3441322, 1711560698.3001459, 1711560698.302593
11,v15044gf0000cnu4lmnog65hhhr0ua7g,122,1591506&1111888&981392&806718&582106&430210,v15044gf0000cnu4lmnog65hhhr0ua7g&v15044gf0000cnu4lmnog65hhhr0ua7g&v15044gf0000cnu4lmnog65hhhr0ua7g&v15044gf0000cnu4lmnog65hhhr0ua7g&v15044gf0000cnu4lmnog65hhhr0ua7g&v15044gf0000cnu4lmnog65hhhr0ua7g,https://v16-webapp-prime.us.tiktok.com/video/tos/useast8/tos-useast8-pve-0068-tx2/o4o4GJeeXQUgRgQGlFeLXHWIIgGgMhA81Aek0d/?a=1988&bti=NDU3ZjAwOg%3D%3D&ch=0&cr=3&dr=0&lr=unwatermarked&cd=0%7C0%7C0%7C&cv=1&br=2170&bt=1085&cs=0&ds=6&ft=4KJMyMzm8Zmo0K85F-4jVq-sdpWrKsd.&mime_type=video_mp4&qs=0&rc=OmlnZ2RoOzo3M2k6NDM7N0BpamQza2s5cnA3cTMzaTczNEBhMzYxNDJiNWMxLS5gXi80YSM0cm9lMmRraXJgLS1kMTJzcw%3D%3D&btag=e00090000&expire=1711733620&l=202403271731376ABFBA7EB815C50C88B6&ply_type=2&policy=2&signature=768bfe01e344a76fbc5e1ac97dffc179&tk=tt_chain_token,adapt_lowest_1080_1&normal_540_0&adapt_lower_720_1&adapt_540_1&lower_540_0&lowest_540_0,2&20&14&28&24&25, 1711560697.343704, 1711560697.3441322, 1711560698.3001459, 1711560698.302593
